X,Y,fid,ObjectID,GlobalID,Site Name,Sample Date,Sample Time,Submitted Date,Freshwater body type,What is the main land use within 50m?,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Can you see any of the following water uses right now? (select all that apply),What aquatic life is there evidence of? (select all that apply),Has there been any rain during the last 24 hours?,Estimate the water flow,Estimate the water level,Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Nitrate (mg/L),Phosphate (mg/L),Water quality - Secchi Tube (Turbidity),Estimate the water colour,feedback_eng,feedback_core,notes,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,icon_url
-1.113707419,51.71973903,"382","306483",3166341f-a647-4fc0-8e48-11720aac8305,Lower Thame below G Milton STW,06/08/2023,16:00:00,06/08/2023 18:08:51,River,Grassland_shrub,,,No,,,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Steady,Average,3-5,1-2,0.5-1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Significantly elevated phosphate concentrations indicate eutrophic conditions which typically result in algal blooms. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Significantly elevated phosphate concentrations indicate eutrophic conditions which typically result in algal blooms. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Phosphate much higher.  Plants at site growing very fast - any connection?,"4","6","1",./0.png
-0.9805141491,51.75723259,"383","306486",fe2abd7b-ae9c-4815-bad1-175d8840a970,Mid Thame Below Long Crendon STW,07/08/2023,11:00:00,07/08/2023 10:29:17,River,Livestock,,No_algae,No,,,Fishing,"Plants_below_surface,Plants_emerging_from_water,Fish,Dragonflies_damselflies",,Slow,Average,6-10,1-2,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","2","1",./0.png
-1.13116,51.69881,"384","306489",3fec977f-fa05-4973-85e6-1420ed712385,Haseley S Branch,06/08/2023,09:20:00,09/08/2023 12:47:19,Stream,Arable_agricultural,Oily_sheen,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Slow,Average,3-5,2-5,0.02-0.05,17_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","2","3",./0.png
-1.12608,51.70325,"385","306490",6dd76eb7-b410-42be-8abf-cc06e0c0091c,Haseley below L Milton STW,06/08/2023,09:50:00,09/08/2023 12:50:59,Stream,Arable_agricultural,,No_algae,In_on_the_water,,,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Steady,Average,3-5,2-5,0.5-1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","6","1",./0.png
-1.13085623,51.7072192,"386","306495",7acc0ad0-862e-4aff-86bb-de8e67b7b007,Lower Thame at Chippinghurst,02/09/2023,09:09:00,02/09/2023 08:26:29,River,Mixed_agricultural,,No_algae,No,Recreational,,,"Plants_below_surface,Plants_emerging_from_water,Dragonflies_damselflies",,Steady,Average,3-5,1-2,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","1",./0.png
-1.047157744,51.65991972,"387","306497",2744dee3-51ae-4f6f-9176-769f35c8c2bc,Chalgrove below Watlington STW,02/09/2023,09:00:00,02/09/2023 09:15:29,Stream,Grassland_shrub,,No_algae,No,,,,,,Slow,Low,1-2,2-5,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","1",./0.png
-1.045950422,51.66053515,"388","306498",4af6a7c3-20bf-4096-9631-7f6d9845039d,Lewknor all,02/09/2023,09:15:00,02/09/2023 09:15:31,Stream,Rural_residential,,No_algae,No,,,,,,Slow,Low,1-2,0.5-1,0.1-0.2,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. ",,"3","4","1",./0.png
-1.067885947,51.76741168,"389","306499",0bbd2e75-ea88-424b-b9fd-5a8d8dfd452a,Worminghall ALL,02/09/2023,09:48:00,02/09/2023 09:15:54,Stream,Livestock,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water,Fish",Light_showers,Slow,Average,3-5,2-5,0.5-1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","6","1",./0.png
-1.061531659,51.75320999,"390","306500",741cbda5-dddd-49ea-8dd0-2ddd50eb3de9,Lower Thame at Ickford,02/09/2023,10:13:00,02/09/2023 09:44:07,River,Livestock,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water,Aquatic_birds,Dragonflies_damselflies",,Steady,Low,11-15,2-5,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-1.09497688,51.68927245,"391","306501",ad22dc17-588b-4655-90d8-4710c8504690,Haseley below Chalgrove STW,02/09/2023,10:57:00,02/09/2023 10:00:59,River,Grassland_shrub,,No_algae,No,,,,Aquatic_birds,Light_showers,Steady,Low,3-5,2-5,0.05-0.1,25_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Kingfisher observed    ,"5","3","6",./0.png
-1.11504839,51.74080986,"392","306502",d364f6a5-064a-4a33-9f13-2e1b0a37da01,Lower Thame below Wheatley STW,02/09/2023,10:23:00,02/09/2023 10:30:53,River,Livestock,,No_algae,"Within_1m_of_river_edge,1_5m_from_river_edge","Bin,Recreational",,,"Plants_below_surface,Plants_emerging_from_water,Floating_plants",,Slow,Average,16-25,2-5,0.2-0.5,<14_NTU,Green,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Cannot see how to submit this survey,"5","5","1",./0.png
-1.030696468,51.74956264,"393","306503",c7db3b6d-f499-4dab-9c18-dc43c85d1a5e,Lower Thame at Shabbington,02/09/2023,11:12:00,02/09/2023 10:47:24,River,Livestock,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water,Fish",,Steady,Low,11-15,2-5,0.2-0.5,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","5","1",./0.png
-1.137163416,51.68255151,"394","306506",648261ba-94d6-4de4-8fe0-83a300c401b7,Chalgrove ALL,02/09/2023,13:40:00,02/09/2023 12:53:43,River,Grassland_shrub,,No_algae,No,,,,,,Steady,Average,3-5,2-5,<0.02,35_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate concentrations and high turbidity indicate an elevated nutrient loading from the surrounding catchment which can have negative consequences for the aquatic environment. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","8",./0.png
-1.118609003,51.75544598,"395","306507",80a3c361-7c7f-4a61-8c98-2577900f84b1,Holton below Holton STW,02/09/2023,11:30:00,02/09/2023 13:03:57,Stream,Mixed_agricultural,,,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water,Floating_plants",Light_showers,Slow,Average,1-2,0.5-1,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","3","1",./0.png
-1.124838261,51.75680322,"396","306508",533ff6f6-44f0-43d4-9b39-3647684de4ac,Holton below Stanton STW,02/09/2023,10:52:00,02/09/2023 13:11:13,Lake,Mixed_agricultural,,No_algae,No,,Agricultural_runoff,,,Light_showers,Steady,Average,6-10,1-2,0.02-0.05,17_NTU,Colourless,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",No plant life in the river in contrast to site 17 which has rich vegetation and is upstream?  This has been the case on every monitoring visit.,"4","2","3",./0.png
-1.014048094,51.64738758,"397","306509",a9579a4e-fed8-4de3-b3e0-4978b987be80,Chalgrove above STW,02/09/2023,14:17:00,02/09/2023 13:26:35,Stream,Rural_residential,,No_algae,,,Urban_road_runoff,,Plants_emerging_from_water,,Steady,Low,1-2,2-5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","2","1",./0.png
-1.106537538,51.75165487,"398","306510",f29b87fd-2969-4380-9139-32458fd4e030,Holton ALL,02/09/2023,15:36:00,02/09/2023 15:02:49,Stream,Mixed_agricultural,,No_algae,No,,"Urban_road_runoff,Agricultural_runoff",,,,Slow,Average,3-5,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","3","1",./0.png
-0.9805141491,51.75723259,"399","306515",9f595c21-4907-418d-9690-61525f06231b,Mid Thame Below Long Crendon STW,03/09/2023,16:30:00,03/09/2023 15:29:34,River,Livestock,,No_algae,No,,,Fishing,"Plants_below_surface,Plants_emerging_from_water,Fish,Dragonflies_damselflies",,Slow,Average,6-10,0.5-1,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","1","1",./0.png
-1.113576574,51.71977143,"400","306516",7189a700-6df0-4caa-8ff3-3bf4e7e30f82,Lower Thame below G Milton  STW,02/09/2023,17:20:00,03/09/2023 17:35:02,River,Grassland_shrub,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",,Steady,Average,3-5,1-2,0.1-0.2,17_NTU,White_milky,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","3",./0.png
-1.13116,51.69881,"401","306519",cdf03e4c-cf54-4fd8-897a-d2b7743ad1c4,Haseley S Branch,02/09/2023,14:30:00,03/09/2023 22:10:24,Stream,Arable_agricultural,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water,Fish,Dragonflies_damselflies",Light_showers,Slow,Average,3-5,2-5,<0.02,19_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","4",./0.png
-1.12607,51.70325,"402","306520",c5538335-2e6c-4685-8a2e-9a169487a3ec,Haseley below L Milton STW,02/09/2023,15:00:00,03/09/2023 22:18:36,Stream,Arable_agricultural,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water,Fish,Dragonflies_damselflies",Light_showers,Slow,Low,3-5,2-5,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-1.067729103,51.76738303,"403","306530",356a4396-e98c-48a1-8ebd-4ec7990760fa,Worminghall ALL,07/10/2023,07:55:00,07/10/2023 07:52:32,Stream,Livestock,,No_algae,No,,Agricultural_runoff,,,,Slow,Low,3-5,2-5,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","1",./0.png
-1.137280722,51.68244315,"404","306532",1d2ea832-df2e-4ea5-ac11-2efb50296613,Chalgrove all,07/10/2023,09:00:00,07/10/2023 09:20:58,Stream,Grassland_shrub,,No_algae,No,,,,,,Slow,Average,3-5,1-2,0.5-1,75_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Significantly elevated phosphate concentrations indicate eutrophic conditions which typically result in algal blooms. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Significantly elevated phosphate concentrations indicate eutrophic conditions which typically result in algal blooms. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. High phosphate concentrations may also indicate a local pollution source (e.g. wastewater outlet, industrial emission or an agricultural runoff). Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","6","11",./0.png
-1.014261073,51.64746145,"405","306533",1202bc0b-4f06-42c6-9405-d0ab5148d650,Chalgrove above stw,07/10/2023,09:15:00,07/10/2023 09:21:00,Stream,Industrial_commercial,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water",,Steady,Average,1-2,1-2,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","2","1",./0.png
-1.047137327,51.65992704,"406","306534",048c8bb8-6ae4-4cc2-8aa3-17975b727219,Chalgrove below Watlington STW,07/10/2023,09:15:00,07/10/2023 09:21:02,Stream,Grassland_shrub,,No_algae,No,,,,,,Steady,Average,1-2,2-5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","2","1",./0.png
-1.045904212,51.6605354,"407","306535",48f36666-2107-47ea-993d-79a22896bf6a,Lewknor all,07/10/2023,09:15:00,07/10/2023 09:21:03,Stream,Rural_residential,,No_algae,No,,,,,,Steady,Average,1-2,0.5-1,0.1-0.2,40_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","4","9",./0.png
-1.061448175,51.75318426,"408","306537",14ca72eb-b17c-44c7-b7a0-04c85fc163aa,Lower Thame Ickford,07/10/2023,10:13:00,07/10/2023 09:37:24,River,Livestock,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water",,Steady,Low,11-15,2-5,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-1.11514907,51.74079679,"409","306538",d5bb9f21-9a79-4eae-9333-11c8b65dac5b,Lower Thame below Wheatley STW,07/10/2023,09:35:00,07/10/2023 09:52:29,River,Livestock,,No_algae,"Within_1m_of_river_edge,1_5m_from_river_edge",Bin,,Animal_access,Plants_emerging_from_water,,Slow,Average,16-25,1-2,0.02-0.05,15_NTU,Brown,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","2","2",./0.png
-1.130911592,51.70725151,"410","306540",cc050c56-e2d6-4c64-8b1b-3c5ade7f60f1,Lower Thame at Chippinghurst,07/10/2023,10:30:00,07/10/2023 10:28:47,River,Mixed_agricultural,,Attached,No,,,,"Plants_below_surface,Plants_emerging_from_water,Aquatic_birds",,Steady,Average,3-5,0.5-1,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","3","1",./0.png
